month,date,city_name,max_num,min_num
2,2018-02-01,西安,3,-6
2,2018-02-01,贵阳,4,-2
2,2018-02-01,运城,3,-9
2,2018-02-01,郑州,8,-6
2,2018-02-01,重庆,7,4
2,2018-02-02,北京,-1,-6
2,2018-02-02,呼和浩特,-10,-21
2,2018-02-02,恩施,10,1
2,2018-02-02,成都,11,0
2,2018-02-02,昆明,8,-1
2,2018-02-02,济南,0,-7
2,2018-02-02,西安,0,-3
2,2018-02-02,贵阳,1,-2
2,2018-02-02,运城,0,-6
2,2018-02-02,郑州,4,-2
2,2018-02-02,重庆,9,5
2,2018-02-03,北京,0,-9
2,2018-02-03,呼和浩特,-7,-21
2,2018-02-03,恩施,6,3
2,2018-02-03,成都,11,1
2,2018-02-03,昆明,3,-1
2,2018-02-03,济南,0,-9
2,2018-02-03,西安,1,-7
2,2018-02-03,贵阳,1,-1
2,2018-02-03,运城,2,-12
2,2018-02-03,郑州,3,-6
2,2018-02-03,重庆,11,5
2,2018-02-04,北京,2,-10
2,2018-02-04,呼和浩特,-3,-20
2,2018-02-04,恩施,7,0
2,2018-02-04,成都,7,3
2,2018-02-04,昆明,2,1
2,2018-02-04,济南,2,-8
2,2018-02-04,西安,3,-7
2,2018-02-04,贵阳,-1,-3
2,2018-02-04,运城,3,-12
2,2018-02-04,郑州,6,-6
2,2018-02-04,重庆,9,6
2,2018-02-05,北京,0,-8
2,2018-02-05,呼和浩特,-3,-14
2,2018-02-05,恩施,11,0
2,2018-02-05,成都,7,2
2,2018-02-05,昆明,1,-1
2,2018-02-05,济南,0,-7
2,2018-02-05,西安,6,-5
2,2018-02-05,贵阳,5,-3
2,2018-02-05,运城,6,-10
2,2018-02-05,郑州,8,0
2,2018-02-05,重庆,8,4
2,2018-02-06,北京,1,-12
2,2018-02-06,呼和浩特,-2,-14
2,2018-02-06,恩施,11,0
2,2018-02-06,成都,6,2
2,2018-02-06,昆明,8,0
2,2018-02-06,济南,3,-9
2,2018-02-06,西安,5,-6
2,2018-02-06,贵阳,3,-1
2,2018-02-06,运城,6,-10
2,2018-02-06,郑州,7,-5
2,2018-02-06,重庆,10,3
2,2018-02-07,北京,0,-7
2,2018-02-07,呼和浩特,-6,-16
2,2018-02-07,恩施,12,2
2,2018-02-07,成都,9,2
2,2018-02-07,昆明,4,1
2,2018-02-07,济南,2,-5
2,2018-02-07,西安,5,-3
2,2018-02-07,贵阳,3,0
2,2018-02-07,运城,6,-8
2,2018-02-07,郑州,10,-3
2,2018-02-07,重庆,11,5
2,2018-02-08,北京,1,-10
2,2018-02-08,呼和浩特,-3,-17
2,2018-02-08,恩施,13,4
2,2018-02-08,成都,10,1
2,2018-02-08,昆明,16,1
2,2018-02-08,济南,5,-7
2,2018-02-08,西安,5,-3
2,2018-02-08,贵阳,9,0
2,2018-02-08,运城,9,-5
2,2018-02-08,郑州,7,-2
2,2018-02-08,重庆,12,5
2,2018-02-09,北京,3,-7
2,2018-02-09,呼和浩特,-7,-13
2,2018-02-09,恩施,10,7
2,2018-02-09,成都,12,5
2,2018-02-09,昆明,18,8
2,2018-02-09,济南,8,1
2,2018-02-09,西安,8,0
2,2018-02-09,贵阳,7,4
2,2018-02-09,运城,8,-3
2,2018-02-09,郑州,13,0
2,2018-02-09,重庆,11,8
2,2018-02-10,北京,-1,-9
2,2018-02-10,呼和浩特,-9,-18
2,2018-02-10,恩施,8,4
2,2018-02-10,成都,10,3
2,2018-02-10,昆明,18,6
2,2018-02-10,济南,2,-4
2,2018-02-10,西安,5,0
2,2018-02-10,贵阳,5,2
2,2018-02-10,运城,5,-1
2,2018-02-10,郑州,7,-1
2,2018-02-10,重庆,9,5
2,2018-02-11,北京,-1,-5
2,2018-02-11,呼和浩特,-9,-17
2,2018-02-11,恩施,7,4
2,2018-02-11,成都,10,4
2,2018-02-11,昆明,19,2
2,2018-02-11,济南,0,-6
2,2018-02-11,西安,6,-3
2,2018-02-11,贵阳,6,0
2,2018-02-11,运城,2,-7
2,2018-02-11,郑州,6,-5
2,2018-02-11,重庆,7,5
2,2018-02-12,北京,5,-3
2,2018-02-12,呼和浩特,0,-15
2,2018-02-12,恩施,12,3
2,2018-02-12,成都,10,2
2,2018-02-12,昆明,20,2
2,2018-02-12,济南,4,-6
2,2018-02-12,西安,9,-5
2,2018-02-12,贵阳,6,3
2,2018-02-12,运城,7,-11
2,2018-02-12,郑州,10,0
2,2018-02-12,重庆,8,6
2,2018-02-13,北京,9,-5
2,2018-02-13,呼和浩特,3,-14
2,2018-02-13,恩施,11,3
2,2018-02-13,成都,12,0
2,2018-02-13,昆明,22,4
2,2018-02-13,济南,13,2
2,2018-02-13,西安,13,-4
2,2018-02-13,贵阳,8,4
2,2018-02-13,运城,12,-7
2,2018-02-13,郑州,17,-4
2,2018-02-13,重庆,11,6
2,2018-02-14,北京,4,-4
2,2018-02-14,呼和浩特,-1,-8
2,2018-02-14,恩施,10,3
2,2018-02-14,成都,12,3
2,2018-02-14,昆明,22,10
2,2018-02-14,济南,10,0
2,2018-02-14,西安,14,0
2,2018-02-14,贵阳,20,5
2,2018-02-14,运城,16,-1
2,2018-02-14,郑州,12,3
2,2018-02-14,重庆,14,8
2,2018-02-15,北京,5,-7
2,2018-02-15,呼和浩特,1,-14
2,2018-02-15,恩施,7,3
2,2018-02-15,成都,17,0
2,2018-02-15,昆明,19,8
2,2018-02-15,济南,6,-2
2,2018-02-15,西安,10,3
2,2018-02-15,贵阳,16,7
2,2018-02-15,运城,11,3
2,2018-02-15,郑州,7,3
2,2018-02-15,重庆,14,9
2,2018-02-16,北京,7,-5
2,2018-02-16,呼和浩特,1,-10
2,2018-02-16,恩施,12,6
2,2018-02-16,成都,18,3
2,2018-02-16,昆明,21,4
2,2018-02-16,济南,9,0
2,2018-02-16,西安,13,0
2,2018-02-16,贵阳,22,7
2,2018-02-16,运城,13,-2
2,2018-02-16,郑州,13,0
2,2018-02-16,重庆,17,7
2,2018-02-17,北京,2,-5
2,2018-02-17,呼和浩特,2,-8
2,2018-02-17,恩施,7,4
2,2018-02-17,成都,17,9
2,2018-02-17,昆明,21,5
2,2018-02-17,济南,10,0
2,2018-02-17,西安,7,5
2,2018-02-17,贵阳,21,12
2,2018-02-17,运城,8,2
2,2018-02-17,郑州,7,1
2,2018-02-17,重庆,13,8
2,2018-02-18,北京,7,-6
2,2018-02-18,呼和浩特,3,-9
2,2018-02-18,恩施,9,7
2,2018-02-18,成都,16,7
2,2018-02-18,昆明,21,4
2,2018-02-18,济南,12,4
2,2018-02-18,西安,9,4
2,2018-02-18,贵阳,21,10
2,2018-02-18,运城,8,0
2,2018-02-18,郑州,9,5
2,2018-02-18,重庆,14,9
2,2018-02-19,北京,5,-2
2,2018-02-19,呼和浩特,1,-6
2,2018-02-19,恩施,10,7
2,2018-02-19,成都,17,6
2,2018-02-19,昆明,20,3
2,2018-02-19,济南,12,2
2,2018-02-19,西安,10,3
2,2018-02-19,贵阳,15,6
2,2018-02-19,运城,12,3
2,2018-02-19,郑州,12,3
2,2018-02-19,重庆,13,9
2,2018-02-20,北京,7,0
2,2018-02-20,呼和浩特,-1,-11
2,2018-02-20,恩施,9,7
2,2018-02-20,成都,17,2
